node_id,source_type,source_id,belief_mean,belief_strength,recorded_at,note
s_read_order,model_guess,claude_opus,0.97,10,2026-08-05,initial scaffold
s_pick_recipe,model_guess,claude_opus,0.90,6,2026-08-05,initial scaffold
s_allergen_check,model_guess,claude_opus,0.85,6,2026-08-05,initial scaffold
s_schedule,model_guess,claude_opus,0.92,6,2026-08-05,initial scaffold
s_order_stock,model_guess,claude_opus,0.95,8,2026-08-05,initial scaffold
s_unpack,model_guess,claude_opus,0.40,3,2026-08-05,initial scaffold
s_spot_wrong_stock,model_guess,claude_opus,0.55,3,2026-08-05,initial scaffold
s_substitute,model_guess,claude_opus,0.75,4,2026-08-05,initial scaffold
s_weigh,model_guess,claude_opus,0.55,4,2026-08-05,initial scaffold
s_mix,model_guess,claude_opus,0.45,3,2026-08-05,initial scaffold
s_line_tin,model_guess,claude_opus,0.25,3,2026-08-05,initial scaffold
s_oven,model_guess,claude_opus,0.70,4,2026-08-05,initial scaffold
s_doneness,model_guess,claude_opus,0.50,3,2026-08-05,initial scaffold
s_turn_out,model_guess,claude_opus,0.35,3,2026-08-05,initial scaffold
s_whip,model_guess,claude_opus,0.40,3,2026-08-05,initial scaffold
s_icing_consistency,model_guess,claude_opus,0.40,3,2026-08-05,initial scaffold
s_colour_flavour,model_guess,claude_opus,0.65,4,2026-08-05,initial scaffold
s_buy_icing,model_guess,claude_opus,0.85,6,2026-08-05,initial scaffold
s_level,model_guess,claude_opus,0.30,3,2026-08-05,initial scaffold
s_stack,model_guess,claude_opus,0.35,3,2026-08-05,initial scaffold
s_crumb_coat,model_guess,claude_opus,0.20,3,2026-08-05,initial scaffold
s_pipe,model_guess,claude_opus,0.15,3,2026-08-05,initial scaffold
s_qc,model_guess,claude_opus,0.75,4,2026-08-05,initial scaffold
s_fold_box,model_guess,claude_opus,0.30,3,2026-08-05,initial scaffold
s_box_cake,model_guess,claude_opus,0.25,3,2026-08-05,initial scaffold
s_label,model_guess,claude_opus,0.80,5,2026-08-05,initial scaffold
s_route,model_guess,claude_opus,0.98,10,2026-08-05,initial scaffold
s_transport,model_guess,claude_opus,0.60,4,2026-08-05,initial scaffold
s_handover,model_guess,claude_opus,0.55,3,2026-08-05,initial scaffold
s_confirm,model_guess,claude_opus,0.95,8,2026-08-05,initial scaffold
